Pais,Dorsal,Nombre,Edad,Altura_m,Posicion
Portugal,1,Diogo Costa,26,1.86,Portero
Portugal,20,João Cancelo,31,1.82,Defensa
Portugal,3,Rúben Dias,29,1.87,Defensa
Portugal,14,Gonçalo Inácio,24,1.86,Defensa
Portugal,25,Nuno Mendes,23,1.8,Defensa
Portugal,15,João Neves,21,1.74,Mediocampista
Portugal,23,Vitinha,26,1.72,Mediocampista
Portugal,8,Bruno Fernandes,31,1.79,Mediocampista
Portugal,10,Bernardo Silva,31,1.73,Mediocampista
Portugal,17,Rafael Leão,26,1.88,Delantero
Portugal,7,Cristiano Ronaldo,41,1.87,Delantero
